"number","title","pageid","namespace","length","touched"
"287","Харківський_академічний_театр_музичної_комедії","18886","","17065","20200506182054"
"288","Харківський_тракторний_завод","18888","","62565","20200505223457"
"289","Харківський_художній_інститут","18890","","3751","20200424144607"
"290","Харківський_художній_музей","18891","","8964","20191007191810"
"291","Харківська_державна_академія_дизайну_та_мистецтв","18892","","13763","20200424125733"
"292","Харківський_червонозаводський_державний_український_драматичний_театр","18893","","4913","20190419122155"
"293","Національний_юридичний_університет_імені_Ярослава_Мудрого","18894","","27876","20200502164231"
"294","Харцієв_Василь_Іванович","18902","","25905","20200421120403"
"295","Харьковскій_Еженедельникъ","18906","","2178","20180918162929"
"296","Харьковскія_Извѣстія","18907","","1953","20190525113632"
"297","Харьковъ","18909","","1861","20181023170113"
"298","Хвиля_Олександр_Леопольдович","18920","","4384","20191031162151"
"299","Хвостенко_Тетяна_Олександрівна","18925","","1851","20200407183641"
"300","Хвостенко-Хвостов_Олександр_Веніамінович","18926","","8245","20191221014116"
"301","Аваков_Арсен_Борисович","19138","","72205","20200510160943"
"302","Бурмака_Марія_Вікторівна","19269","","13625","20200128131147"
"303","Сизиков_Валентин_Васильович","19521","","4089","20200227135942"
"304","Синельников_Кирило_Дмитрович","19583","","8278","20200315094836"
"305","Синцов_Дмитро_Матвійович","19599","","16227","20191130103347"
"306","Сиркін_Михайло_Маркович","19616","","9943","20191127125014"
"307","Ситенко_Михайло_Іванович","19629","","8834","20200330153417"
"308","Ситенко_Олексій_Григорович","19630","","13804","20190725042307"
"309","Сицянко_Йосип_Семенович","19638","","1580","20200430115547"
"310","Сильванський_Микола_Йосипович","19663","","5690","20190831050814"
"311","Іван_Сірко","19708","","53186","20200424073142"
"312","Скаба_Андрій_Данилович","19735","","14949","20200205155405"
"313","Скворцов_Іринарх_Поліхронійович","19761","","2004","20191102085810"
"314","Скляренко_Володимир_Михайлович","19785","","6775","20200120230137"
"315","Хоткевич_Гнат_Мартинович","19847","","42751","20200402005441"
"316","Сластіон_Юрій_Опанасович","19901","","16488","20190901114845"
"317","Слатін_Ілля_Ілліч","19903","","4479","20200122095939"
"318","Слісаренко_Олекса_Андрійович","19925","","18868","20200322125122"
"319","Слуцкін_Абрам_Олександрович","19986","","4444","20200510083731"
"320","Смирнов_Микола_Петрович","20014","","3509","20190129104243"
"321","Смирнов_Олексій_Максимович","20015","","3367","20200101170234"
"322","Смолич_Дмитро_Миколайович","20042","","5554","20200120230151"
"323","Смолич_Юрій_Корнійович","20044","","24986","20200423063131"
"324","Смоляк_Віталій_Єлисейович","20048","","4339","20200414235838"
"325","Смотрич_Олександр","20054","","14139","20190901141040"
"326","Соболєв_Дмитро_Миколайович","20087","","4462","20180917121401"
"327","Соболь_Микола_Олександрович","20089","","14269","20200306112445"
"328","Соболь_Наум_Федорович","20090","","2856","20190910172158"
"329","Соболь_Олександр_Михайлович","20091","","10125","20191231164539"
"330","Соболь_Федір_Мусійович","20092","","1907","20190910172412"
"331","Сокальський_Іван_Петрович","20133","","2231","20190611231334"
"332","Сокальський_Петро_Петрович","20134","","13763","20191111040325"
"333","Сокіл_Василь_Іванович","20143","","16112","20190725161339"
"334","Соколов_Борис_Павлович","20149","","1939","20190901140720"
"335","Соколовський_Олексій_Никанорович","20160","","4994","20200425105847"
"336","Соколянський_Іван_Опанасович","20163","","9674","20191125132459"
"337","Соленик_Карпо_Трохимович","20164","","9999","20200430223640"
"338","Соловей_Дмитро_Федорович","20168","","17890","20191221085049"
"339","Соловйов_Михайло_Миколайович","20176","","4133","20200424204905"
"340","Солодовник_Сергій_Максимович","20184","","3524","20190828141300"
"341","Сомов_Орест_Михайлович","20218","","19931","20200506193839"
"342","Спаський_Василь_Лукич","20366","","5061","20190901124053"
"343","Срезневський_Іван_Овсійович","20421","","3273","20190910065129"
"344","Стадниківна_Стефанія_Йосипівна","20749","","4675","20190901123912"
"345","Стадниченко_Юрій_Іванович","20751","","5262","20190528134636"
"346","Старостенко_Юрій_Михайлович","20822","","2854","20190916090301"
"347","Стеллецький_Микола_Семенович","20863","","4410","20190726195312"
"348","Степанів_Тихон_Федорович","20881","","18440","20200413182557"
"349","Степняк-Ланшин_Мирон_Олексійович","20888","","7719","20180822130206"
"350","Стефанович_Михайло_Павлович","20912","","2907","20190103200356"
"351","Стешенко_Ірина_Іванівна","20940","","8081","20190823125038"
"352","Стешенко_Сергій_Петрович","20942","","2788","20191129114518"
"353","Столяров_Яків_Васильович","20968","","1121","20190916090306"
"354","Стоянов_Андрій_Миколайович","21051","","1779","20190209104752"
"355","Страхов_Адольф_Йосипович","21057","","3635","20181118111026"
"356","Страхов_Тимофій_Данилович","21058","","4292","20200507003329"
"357","Стрєлков_Ілля_Іванович","21066","","2084","20181214174010"
"358","Струве_Людвіг_Оттович","21098","","8796","20200423162620"
"359","Сулима_Микола_Федорович","21172","","8482","20190501172210"
"360","Сумний_Семен_Макарович","21182","","7664","20191218075626"
"361","Сумцов_Микола_Федорович","21185","","46980","20200507092045"
"362","Суходольська-Дикова_Марія_Денисівна","21226","","3313","20200428081445"
"363","Талієв_Валерій_Іванович","21429","","10080","20190613070120"
"364","Тарабаринов_Леонід_Семенович","21482","","8044","20191129203241"
"365","Таранушенко_Стефан_Андрійович","21492","","9043","20200327130046"
"366","Харків_(річка)","21521","","22717","20200505181729"
"367","Братство_тарасівців","21724","","11511","20200302085216"
"368","Тарнані_Іван_Костянтинович","21736","","6527","20200507003409"
"369","Тацій_Олексій_Олександрович","21760","","9764","20200305140049"
"370","Теличенко_Іван_Васильович","21790","","7767","20190613110106"
"371","Тендюк_Леонід_Михайлович","21801","","7938","20200507072415"
"372","Терещенко_Марко_Степанович","21850","","5127","20190325204456"
"373","Терещенко_Олександр_Власович","21852","","9651","20190913115127"
"374","Донець-Тессейр_Марія_Едуардівна","21886","","6439","20200425093420"
"375","Тимковський_Ілля_Федорович","21912","","9445","20200507000228"
"376","Пстрак_Ярослав_Васильович","21954","","19800","20191227232344"
"377","Рабухін_Олександр_Юхимович","22065","","4149","20191127183445"
"378","Радуга_(журнал)","22134","","2866","20191230143411"
"379","Радчук_Федір_Іванович","22143","","3035","20200203081848"
"380","Радянський_книгар_(журнал)","22160","","1157","20190530073553"
"381","Український_письменник","22163","","9607","20200309122743"
"382","Раєвська-Іванова_Марія_Дмитрівна","22167","","6308","20190721035819"
"383","Раєвський_Аркадій_Олександрович","22168","","2935","20191129135021"
"384","Ражба_Яків_Самійлович","22174","","7554","20200402191441"
"385","Олесь_Досвітній","22293","","21878","20200421095450"
"386","Рапай-Маркіш_Ольга_Перецівна","22405","","10952","20191127082657"
"387","Рейпольський_Іван_Миколайович","22516","","1642","20191011213716"
"388","Рейхель_Михайло_Йосипович","22517","","2984","20190721065839"
"389","Репрєв_Олександр_Васильович","22539","","17142","20200503143815"
"390","Рєдін_Єгор_Кузьмович","22555","","9682","20190930083146"
"391","Рибак_Ігор_Михайлович","22724","","5887","20190721110639"
"392","Рибальченко_Всеволод_Петрович","22733","","2321","20191022002336"
"393","Рижський_Іван_Степанович","22752","","15426","20200506140625"
"394","Різниченко_Володимир_Васильович","22838","","13455","20191001172111"
"395","Ріттер_Павло_Григорович","22860","","8479","20200507210531"
"396","Жаботинський_Леонід_Іванович","22991","","19880","20200502165406"
"397","Робітнича_Освіта_(журнал)","23057","","2937","20190122083521"
"398","Рожанський_Дмитро_Аполлінарійович","23109","","5466","20190509141652"
"399","Рождественський_Микола_Миколайович","23112","","3997","20200505212004"
"400","Рожественський_Борис_Миколайович","23115","","6065","20190827180815"
"401","Ролл_Яків_Володимирович","23166","","4284","20191109195625"
"402","Романівська_Марія_Михайлівна","23186","","6014","20190528134655"
"403","Ропська_Олександра_Дмитрівна","23289","","4829","20191020144901"
"404","Россіна_Юлія_Вікторівна","23307","","2629","20190721202458"
"405","Росковшенко_Іван_Васильович","23311","","2716","20190721201030"
"406","Рубашкін_Володимир_Якович","23345","","7563","20200418171747"
"407","Руденко_Сергій_Іванович","23371","","42507","20191227232557"
"408","Рудинський_Михайло_Якович","23375","","20315","20200512232642"
"409","Русов_Михайло_Олександрович","23471","","4392","20200221165824"
"410","Русов_Юрій_Олександрович","23473","","4050","20200323120402"
"411","Русько_Олексій_Микитович","23517","","7164","20181222102108"
"412","Ручко_Гнат_Омелянович","23532","","4186","20190112115718"
"413","Рябінін_Микола_Леонідович","23535","","7588","20190830163405"
"414","Рябокінь_Хома_Семенович","23542","","2785","20200329124439"
"415","Сабін-Гус_Юрій_Давидович","23825","","2305","20190722075845"
"416","Савин_Віктор_Маркіянович","23836","","4126","20200315081102"
